1.00,3.00,0.63,0.58,1.00,0.73,35.29
2.00,3.00,0.53,0.57,0.27,0.36,12.87
1.00,4.00,0.60,0.56,1.00,0.71,106.21
2.00,4.00,0.67,0.67,0.67,0.67,67.76
1.00,5.00,0.50,0.50,1.00,0.67,295.20
2.00,5.00,0.60,0.60,0.60,0.60,297.34
1.00,3.00,0.53,0.40,0.80,0.53,26.58
2.00,3.00,0.60,0.33,0.20,0.25,11.61
1.00,4.00,0.40,0.36,1.00,0.53,80.19
2.00,4.00,0.57,0.36,0.40,0.38,61.22
1.00,5.00,0.37,0.34,1.00,0.51,218.47
2.00,5.00,0.73,0.58,0.70,0.64,271.81
1.00,3.00,0.47,0.49,0.85,0.62,36.77
2.00,3.00,0.40,0.38,0.30,0.33,12.13
1.00,4.00,0.45,0.47,0.90,0.62,109.38
2.00,4.00,0.47,0.47,0.45,0.46,63.43
1.00,5.00,0.50,0.50,1.00,0.67,292.38
2.00,5.00,0.40,0.40,0.40,0.40,271.13
1.00,3.00,0.57,0.54,0.35,0.42,30.13
2.00,3.00,0.57,0.53,0.50,0.51,11.38
1.00,4.00,0.48,0.43,0.50,0.47,85.36
2.00,4.00,0.36,0.33,0.40,0.36,55.28
1.00,5.00,0.50,0.47,0.80,0.59,236.64
2.00,5.00,0.41,0.41,0.65,0.50,230.80
